subject;language;year;value
zombie;PO;2015;120
elevator;PO;2015;110
grapes;PO;2015;110
a baby;PO;2015;90
ants;PO;2015;90
cemetery;PO;2015;90
dirty water;PO;2015;90
falling airplane;PO;2015;90
lion;PO;2015;90
macumba;PO;2015;90
rabbit;PO;2015;90
shark;PO;2015;90
a clock;PO;2015;80
frogs;PO;2015;80
perfume;PO;2015;80
toads;PO;2015;80
witch;PO;2015;80
angel;PO;2015;70
gold;PO;2015;70
childbirth;PO;2015;60
raw meat;PO;2015;60
scorpion;PO;2015;60
yellow snake;PO;2015;60
party;PO;2015;50
treachery;PO;2015;50
white cat;PO;2015;50
nails;PO;2015;40
someone you like;RU;2015;23600
chocolate;RU;2015;15650
bath ?;RU;2015;13400
pig;RU;2015;13400
honey;RU;2015;10900
dog bite;RU;2015;10650
broken phone;RU;2015;10600
ex-wife;RU;2015;7900
a bus;RU;2015;7850
shark;RU;2015;7800
tick;RU;2015;5350
fishing;RU;2015;750
cheating husband;RU;2015;700
washing the floor;RU;2015;550
a baby;RU;2015;450
rabbit;RU;2015;450
pregnancy;RU;2015;200
former boyfriend;RU;2015;130
graveyard;RU;2015;130
a snake;RU;2015;60
water;RU;2015;60
treason;RU;2015;50
travelling;AR;2016;26250
crocodile;AR;2016;130
cat;AR;2016;50
divorce;AR;2016;40
someone;EN;2016;49650
your boyfriend cheating on you;EN;2016;10000
ghosts;EN;2016;9900
ants;EN;2016;6300
your partner cheating;EN;2016;4500
your crush;EN;2016;3450
alligators;EN;2016;3300
snakes;EN;2016;2000
teeth falling out;EN;2016;1750
water;EN;2016;350
banana;EN;2016;250
bees;EN;2016;200
tornadoes;EN;2016;170
your ex girlfriend;EN;2016;150
fire;EN;2016;140
a dead person;EN;2016;120
a baby;EN;2016;110
being pregnant;EN;2016;110
lion;EN;2016;110
brown horse;EN;2016;80
cats;EN;2016;70
my ex boyfriend;EN;2016;70
bird;EN;2016;60
fish;EN;2016;60
flying;EN;2016;60
kissing someone;EN;2016;60
peacock;EN;2016;60
an ex;EN;2016;50
black bird;EN;2016;50
cake;EN;2016;50
shoes;EN;2016;50
someone cheating on you;EN;2016;50
your ex;EN;2016;50
bridge;EN;2016;40
toilet;EN;2016;40
a lot of money;ES;2016;190
spiders;ES;2016;170
dogs;ES;2016;160
falling teeth;ES;2016;160
wasps;ES;2016;150
the quiniela;ES;2016;140
butterflies;ES;2016;130
earthworms;ES;2016;120
you have a baby;ES;2016;110
a newbown baby;ES;2016;80
animals;ES;2016;80
being kidnapped;ES;2016;80
cienpies;ES;2016;80
giant waves;ES;2016;80
lice;ES;2016;80
red ants;ES;2016;80
snakes;ES;2016;80
black cat;ES;2016;70
someone who has already died;ES;2016;70
the end of the world;ES;2016;70
vomit;ES;2016;70
bull;ES;2016;60
demons;ES;2016;60
earthquake;ES;2016;60
snow;ES;2016;60
a mouse;ES;2016;50
being naked;ES;2016;50
being pregnant;ES;2016;50
big rats;ES;2016;50
newborn baby;ES;2016;50
rats;ES;2016;50
rings;ES;2016;50
tremor;ES;2016;50
vipers;ES;2016;50
a baby boy;ES;2016;40
cows;ES;2016;40
crocodiles;ES;2016;40
ex girlfriend;ES;2016;40
pigeons;ES;2016;40
UFOs;ES;2016;40
fire;FR;2016;10700
rat;FR;2016;7500
broken teeth;FR;2016;2950
whale;FR;2016;500
flying;FR;2016;300
dog;FR;2016;250
argument;FR;2016;200
fighting;FR;2016;200
ring;FR;2016;200
mud;FR;2016;180
car;FR;2016;150
cat;FR;2016;150
getting pregnant;FR;2016;150
losing hair;FR;2016;150
cockroach;FR;2016;140
tiger;FR;2016;140
white worms;FR;2016;140
breaking;FR;2016;130
losing teeth;FR;2016;130
turtle;FR;2016;130
baby;FR;2016;110
gift;FR;2016;110
snake;FR;2016;50
being pregnant;FR;2016;40
being bitten by a dog;IN;2016;4750
getting married;IN;2016;250
having a child;IN;2016;160
tsunami;IN;2016;160
the doomsday;IN;2016;80
marriage;IN;2016;70
snake;IN;2016;60
tooth falling;IN;2016;50
an ex;IN;2016;40
someone;JP;2016;950
earthquake;JP;2016;350
turtles;JP;2016;300
bee;JP;2016;130
zombie;JP;2016;120
an ex;JP;2016;70
being chased;JP;2016;70
pregnancy;JP;2016;50
someone you like;JP;2016;50
lizard;PO;2016;650
your crush;PO;2016;650
bean;PO;2016;500
spider;PO;2016;500
agitated sea;PO;2016;400
crab;PO;2016;400
finding money;PO;2016;350
termite;PO;2016;300
tsunami;PO;2016;250
dog;PO;2016;200
fish;PO;2016;200
white horse;PO;2016;190
goat;PO;2016;160
the person you like;PO;2016;160
clean water;PO;2016;150
lice;PO;2016;150
someone who has died;PO;2016;150
scorpion;PO;2016;140
shark;PO;2016;140
birds;PO;2016;120
coconut;PO;2016;110
eggs;PO;2016;110
chicken;PO;2016;100
fruits;PO;2016;100
shoe;PO;2016;100
vomiting;PO;2016;100
yellow snake;PO;2016;100
black cat;PO;2016;90
black dog;PO;2016;90
clown;PO;2016;90
hair;PO;2016;90
children;PO;2016;80
food;PO;2016;80
frog;PO;2016;80
white snake;PO;2016;80
black snake;PO;2016;70
fighting;PO;2016;70
gecko;PO;2016;70
party;PO;2016;70
pepper;PO;2016;70
theft;PO;2016;70
weddng dress;PO;2016;70
witch;PO;2016;70
a scorpion;PO;2016;60
child;PO;2016;60
green snake;PO;2016;60
tiger;PO;2016;60
bull;PO;2016;50
water;PO;2016;50
broken tooth;PO;2016;40
cow;PO;2016;40
toads;PO;2016;40
gold chain;RU;2016;16450
having a son;RU;2016;8050
being pregnant;RU;2016;5250
having a boy;RU;2016;450
newborn;RU;2016;450
dandruff;RU;2016;400
puppy;RU;2016;250
your own wedding;RU;2016;250
fire;RU;2016;190
pregnancy and childbirth;RU;2016;180
snake bite;RU;2016;180
unfamiliar person;RU;2016;180
elephant;RU;2016;170
washing my hair;RU;2016;170
raspberry;RU;2016;160
to pick mushrooms;RU;2016;130
spider;AR;2017;200
long hair;AR;2017;90
money;AR;2017;80
cat;AR;2017;50
fire;AR;2017;40
losing a tooth;EN;2017;13050
my ex;EN;2017;12300
teeth falling out;EN;2017;11500
positive pregnancy test;EN;2017;7000
fire;EN;2017;3350
to kiss someone;EN;2017;500
scary dreams;EN;2017;400
snakes;EN;2017;400
a snake biting you;EN;2017;350
your ex;EN;2017;300
alligators;EN;2017;250
tornadoes;EN;2017;250
winning money;EN;2017;250
falling;EN;2017;200
ghosts;EN;2017;200
having a baby;EN;2017;200
someone;EN;2017;200
your girlfriend cheating on you;EN;2017;200
shoes;EN;2017;190
bees;EN;2017;170
bad dreams;EN;2017;160
fish;EN;2017;160
your boyfriend cheating on you;EN;2017;140
war;EN;2017;130
my crush;EN;2017;120
rain;EN;2017;120
crying;EN;2017;110
flying;EN;2017;100
marriage;EN;2017;100
spiders;EN;2017;100
an ex;EN;2017;90
babies;EN;2017;80
birthday;EN;2017;70
black dog;EN;2017;70
money;EN;2017;70
water;EN;2017;70
cheating;EN;2017;60
dinosaur;EN;2017;60
cow;EN;2017;50
cutting hair;EN;2017;50
dolphin;EN;2017;50
train;EN;2017;50
known deads;ES;2017;1500
bulls;ES;2017;1450
fire;ES;2017;500
having sex;ES;2017;250
small cats;ES;2017;250
white worms;ES;2017;250
black spiders;ES;2017;200
you cut your hair;ES;2017;200
your partner is unfaithful;ES;2017;200
earthquake;ES;2017;180
that your teeth are falling out;ES;2017;180
ants;ES;2017;170
a bear;ES;2017;160
black ants;ES;2017;150
chicks;ES;2017;150
demons;ES;2017;150
rice;ES;2017;150
a wedding;ES;2017;140
wolves;ES;2017;140
being robbed;ES;2017;130
clowns;ES;2017;130
lizards;ES;2017;120
birds;ES;2017;110
broken glass;ES;2017;110
party;ES;2017;110
sharks;ES;2017;110
dogs;ES;2017;100
lice;ES;2017;100
you fly;ES;2017;100
big rats;ES;2017;90
chickens;ES;2017;90
cienpies;ES;2017;90
elves;ES;2017;90
food;ES;2017;90
money;ES;2017;90
numbers;ES;2017;90
spiders;ES;2017;90
toad;ES;2017;90
wedding;ES;2017;90
your hair is falling;ES;2017;90
rats;ES;2017;80
someone a lot;ES;2017;80
big waves;ES;2017;70
ex partner;ES;2017;70
snakes;ES;2017;70
the person you like;ES;2017;70
cemetery;ES;2017;60
fruits;ES;2017;60
a baby in arms;ES;2017;50
a crocodile;ES;2017;50
a spider;ES;2017;50
being persecuted;ES;2017;50
having a baby;ES;2017;50
someone you like;ES;2017;50
losing teeth;FR;2017;160600
snake;FR;2017;150
wolf;FR;2017;150
travelling;FR;2017;140
arguing;FR;2017;120
being pregnant;FR;2017;110
praying;FR;2017;110
mice;FR;2017;100
white hair;FR;2017;90
dancing;FR;2017;80
mirror;FR;2017;80
pig;FR;2017;80
separation;FR;2017;80
snow;FR;2017;80
tooth;FR;2017;80
lice;FR;2017;70
makeup;FR;2017;70
mouse;FR;2017;70
childbirth;FR;2017;60
drowing;FR;2017;50
meeting a former girlfriend;IN;2017;130
pregnancy;IN;2017;60
marrying a girlfriend;IN;2017;50
the doomsday;IN;2017;40
monkey;JP;2017;25300
a scary dreams;JP;2017;5950
falling teeth;JP;2017;5950
fire;JP;2017;550
butterfly;JP;2017;100
insects;JP;2017;100
ex;JP;2017;90
war;JP;2017;90
an ex;JP;2017;60
dog;JP;2017;50
falling;JP;2017;50
scary dream;JP;2017;40
a pregnant woman;PO;2017;350
key;PO;2017;300
pregnancy;PO;2017;300
the end of the world;PO;2017;250
whale;PO;2017;200
toads;PO;2017;180
monkey;PO;2017;160
turtle;PO;2017;150
fish;PO;2017;140
green frog;PO;2017;140
the beach;PO;2017;140
animals;PO;2017;130
newborn baby;PO;2017;130
vulture;PO;2017;130
water;PO;2017;130
haircut;PO;2017;120
war;PO;2017;120
lizard;PO;2017;110
rice;PO;2017;110
shark;PO;2017;110
storm;PO;2017;110
train;PO;2017;110
a dead person;PO;2017;100
bear;PO;2017;100
big toad;PO;2017;100
coconut;PO;2017;100
crocodile;PO;2017;100
alligator;PO;2017;90
cemetery;PO;2017;90
dead people;PO;2017;90
falling teeth;PO;2017;90
horse;PO;2017;90
many snakes;PO;2017;90
snakes;PO;2017;90
the devil;PO;2017;90
flea;PO;2017;80
hair;PO;2017;80
bath;PO;2017;70
cockroaches;PO;2017;70
doll;PO;2017;70
fire;PO;2017;70
fruits;PO;2017;70
money;PO;2017;70
motorcycle;PO;2017;70
people who had died;PO;2017;70
police;PO;2017;70
the person you like;PO;2017;70
bread;PO;2017;60
broken tooth;PO;2017;60
clown;PO;2017;60
mirror;PO;2017;60
pig;PO;2017;60
a fight;PO;2017;50
black dog;PO;2017;50
coins;PO;2017;50
coral snake;PO;2017;50
falling airplane;PO;2017;40
lice;PO;2017;40
parrot;PO;2017;40
hurricane;RU;2017;14800
dolphin;RU;2017;10050
spider's web;RU;2017;9950
broken tooth;RU;2017;7550
earthquake;RU;2017;7450
tornado;RU;2017;2400
elephant;RU;2017;550
broken phone;RU;2017;350
seeing yourself pregnant;RU;2017;300
tooth loss;RU;2017;300
being pregnant;RU;2017;250
flood;RU;2017;250
gypsy;RU;2017;250
haircut;RU;2017;250
toad;RU;2017;250
watermelon;RU;2017;250
cheating girl;RU;2017;200
fish;RU;2017;190
cat;RU;2017;60
ring;RU;2017;60
money;RU;2017;50
sex;RU;2017;50
water;RU;2017;50
dogs;AR;2018;200
camel;AR;2018;120
crying;AR;2018;110
henna;AR;2018;60
cutting hair;AR;2018;50
money;AR;2018;50
car;AR;2018;40
my ex;EN;2018;24000
snakes;EN;2018;9150
your teeth falling out;EN;2018;8900
winning money;EN;2018;7000
giving birth to a baby;EN;2018;2100
being pregnant;EN;2018;800
babies;EN;2018;250
spider;EN;2018;250
your boyfriend breaking up with you;EN;2018;200
your partner cheating on you;EN;2018;200
frogs;EN;2018;190
cats;EN;2018;170
to be chased;EN;2018;160
fish;EN;2018;150
flying;EN;2018;150
someone you used to like;EN;2018;140
zombie;EN;2018;130
crying;EN;2018;120
your boyfriend cheating on you;EN;2018;120
bees;EN;2018;110
dead person;EN;2018;110
to kiss someone;EN;2018;110
dogs;EN;2018;100
drowning;EN;2018;100
rats;EN;2018;100
someone;EN;2018;90
snake biting you;EN;2018;80
cheating;EN;2018;70
dream within a dream;EN;2018;70
fighting;EN;2018;70
your crush;EN;2018;60
bad dreams;EN;2018;50
falling;EN;2018;50
fire;EN;2018;50
lion;EN;2018;50
my ex boyfriend;EN;2018;50
fishing;EN;2018;40
dogs;ES;2018;650
spiders;ES;2018;550
flying;ES;2018;450
your partner cheating on you;ES;2018;450
being robbed;ES;2018;300
falling tooth;ES;2018;300
bulls;ES;2018;250
for the quiniela;ES;2018;250
thieves;ES;2018;250
white rats;ES;2018;250
UFOs;ES;2018;200
a tiger;ES;2018;190
earthquake;ES;2018;190
rats;ES;2018;180
crabs;ES;2018;160
lice;ES;2018;160
rabbits;ES;2018;160
birds;ES;2018;150
scorpions;ES;2018;150
viper;ES;2018;140
airplanes;ES;2018;130
a big rat;ES;2018;120
a rat;ES;2018;120
a wedding;ES;2018;120
black cat;ES;2018;120
a black dog;ES;2018;110
lizards;ES;2018;110
robberies;ES;2018;110
snake;ES;2018;100
cats;ES;2018;90
ex boyfriend;ES;2018;90
having a baby;ES;2018;90
someone a lot;ES;2018;90
a lot of water;ES;2018;80
bees;ES;2018;80
fleas;ES;2018;80
pregnancy;ES;2018;80
tarantulas;ES;2018;80
tiger;ES;2018;80
giant waves;ES;2018;70
storm;ES;2018;70
turbid water;ES;2018;70
a dead person;ES;2018;60
bedbugs;ES;2018;60
black ants;ES;2018;60
erupting  volcano;ES;2018;60
diamonds;ES;2018;50
the end of the world;ES;2018;50
your hair is cut;ES;2018;50
ants;ES;2018;40
black snake;ES;2018;40
flies;ES;2018;40
small rats;ES;2018;40
tsunami;ES;2018;40
your hair is falling;ES;2018;40
thief;FR;2018;450
cycling;FR;2018;400
having your hair cut;FR;2018;250
henna;FR;2018;200
praying;FR;2018;150
being pregnant;FR;2018;130
black snake;FR;2018;130
bread;FR;2018;130
losing teeth;FR;2018;120
waves;FR;2018;120
bat;FR;2018;100
hen;FR;2018;90
bracelet;FR;2018;80
couscous;FR;2018;80
jewels;FR;2018;80
moving;FR;2018;80
drowing;FR;2018;70
getting married;FR;2018;70
lion;FR;2018;70
pregnant woman;FR;2018;70
an ex;FR;2018;50
spider;FR;2018;50
snake;FR;2018;40
teeth falling;IN;2018;100
meeting a former girlfriend;IN;2018;80
being chased by a snake;IN;2018;70
haircut;IN;2018;60
meeting an ex;IN;2018;60
snake;IN;2018;40
kissing a person of my same sex ?;JP;2018;10400
bee;JP;2018;300
earthquake;JP;2018;200
toilet;JP;2018;150
birds;JP;2018;120
an ex;JP;2018;100
falling tooth;JP;2018;60
bad dream;JP;2018;50
dog;JP;2018;50
insects;JP;2018;50
green frog;PO;2018;4250
watermelon;PO;2018;700
kidnapping;PO;2018;650
broken tooth;PO;2018;300
shoes;PO;2018;300
turtle;PO;2018;300
werewolf;PO;2018;300
a pregnant woman;PO;2018;250
shark;PO;2018;250
fish;PO;2018;180
house on fire;PO;2018;180
perfume;PO;2018;180
father;PO;2018;160
getting married;PO;2018;150
crocodile;PO;2018;140
lizard;PO;2018;140
cemetery;PO;2018;130
cheating boyfriend;PO;2018;130
clean water;PO;2018;130
people who had died;PO;2018;130
being pregnant;PO;2018;120
theft;PO;2018;120
yellow snake;PO;2018;120
a lot of water;PO;2018;110
bread;PO;2018;110
coins;PO;2018;110
dirty water;PO;2018;110
running water;PO;2018;110
tattoos;PO;2018;110
termite;PO;2018;110
crab;PO;2018;100
crying;PO;2018;100
honey;PO;2018;100
lice;PO;2018;100
spiders;PO;2018;100
banana;PO;2018;90
butterfly;PO;2018;90
dirty clothes;PO;2018;90
puppies;PO;2018;90
snake;PO;2018;90
waterfall;PO;2018;90
worms;PO;2018;90
a kiss;PO;2018;80
flood;PO;2018;80
macumba;PO;2018;80
white cat;PO;2018;80
a lot of money;PO;2018;70
goat;PO;2018;70
money;PO;2018;70
storm;PO;2018;70
ant;PO;2018;60
black cat;PO;2018;60
falling tooth;PO;2018;60
food;PO;2018;60
lion;PO;2018;60
shoe;PO;2018;60
baby;PO;2018;50
church;PO;2018;50
fire;PO;2018;50
mouse;PO;2018;50
water;PO;2018;50
white horse;PO;2018;50
witch;PO;2018;50
wolf;PO;2018;50
baby;RU;2018;5200
going by train;RU;2018;2550
a snake;RU;2018;400
bat;RU;2018;400
cutting hair;RU;2018;400
owl;RU;2018;400
parrot;RU;2018;400
someone else's wedding;RU;2018;300
herring;RU;2018;200
preparing for a wedding;RU;2018;200
moving away;RU;2018;190
having a boy;RU;2018;180
the sea;RU;2018;90
rat;RU;2018;40
